,Institution ID,Legal Name,Popular Name,SED Code,INST Type Code,INST Type Description,INST Sub Type Code,INST Sub Type Description,County Code,County Description,Physical Address Line1,Physical Address Line2,Physical City,Physical State Code,Physical Zipcd5,Mailing Address Line1,Mailing Address Line2,Mailing City,Mailing State Code,Mailing Zipcd5,CEO Salutation,CEO FName,CEO LName,CEO Title,CEO email,CEO Phone,CEO Phone Extension,Grade Organization Code,Grade Organization Description,Grade Pre-K,Grade Half K,Grade Full K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade Ungraded Elementary,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade Ungraded Secondary
19,-800000041711,LOCKPORT HIGH SCHOOL,LOCKPORT HIGH SCHOOL,400400010011,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,250 LINCOLN AVE,,LOCKPORT,NY,14094,250 LINCOLN AVE,,LOCKPORT,NY,14094,MRS.,DAWN,WYLKE,PRINCIPAL,dwylke@lockportschools.net,(716)478-4453,,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,Y
20,-800000060026,BISHOP PATRICK V AHERN HIGH SCHOOL,BISHOP PATRICK V AHERN HIGH SCHOOL,353100145558,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,315 ARLENE ST,,STATEN ISLAND,NY,10314,315 ARLENE ST,,STATEN ISLAND,NY,10314,MS.,DONNA,JENNINGS,DIRECTOR,djennings@sflschools.org,(718)982-5084,,7,Special,,,,,,,,,,,,,,,,,Y
21,-800000059319,MESIVTA KESSER YISROEL OF WILLOWBROOK,MESIVTA KESSER YISROEL-WILLOWBROOK,353100225463,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,240 WOODWARD AVE,,STATEN ISLAND,NY,10314,240 WOODWARD AVE,,STATEN ISLAND,NY,10314,MR.,ROBERT,FENDRICK,PRINCIPAL,rfendrick@yzpsi.org,(718)477-7720,,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
22,-800000057659,CHABAD LUBAVITCH OF STATEN ISLAND,CHABAD LUBAVITCH OF STATEN ISLAND,353100225976,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,275 MARTLING AVE,,STATEN ISLAND,NY,10314,275 MARTLING AVE,,STATEN ISLAND,NY,10314,MS.,CHANA,KATZMAN,PRINCIPAL,chabadstatenisland@gmail.com,(718)370-8953,,1,Elementary,Y,,Y,Y,,,,,,,,,,,,,
23,-800000085970,STATEN ISLAND HEBREW ACADEMY,STATEN ISLAND HEBREW ACADEMY,353100226208,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,3495 RICHMOND RD,,STATEN ISLAND,NY,10306,3495 RICHMOND RD,,STATEN ISLAND,NY,10306,DR.,JANE,UZHANSKY,ADMINISTRATOR,chanauz@gmail.com,(718)987-9700,,1,Elementary,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
24,-800000090334,MESIVTHA TIFERETH JERUSALEM,MESIVTHA TIFERETH JERUSALEM,353100226360,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,1870 DRUMGOOLE RD,,STATEN ISLAND,NY,10309,1870 DRUMGOOLE RD,,STATEN ISLAND,NY,10309,MR.,STANLEY,BRONFELD,PRINCIPAL,egold@mtj.edu,(212)964-2830,,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
25,-800000091360,CONGREGATION BNOS CHAYA,CONGREGATION BNOS CHAYA,353100226476,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,471 N GANNON AVE,,STATEN ISLAND,NY,10314,4511 14TH AVE,,BROOKLYN,NY,11219,MR.,EFRAIM,FINK,ADMINISTRATOR,rabbi@bnoschaya.org,(718)851-1212,,1,Elementary,Y,,Y,,,,,,,,,,,,,,
26,-800000041879,JEWISH FOUNDATION SCHOOL,JEWISH FOUNDATION SCHOOL,353100227017,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,400 CASWELL AVE,,STATEN ISLAND,NY,10314,400 CASWELL AVE,,STATEN ISLAND,NY,10314,MRS.,JANE,STANGER,PRINCIPAL,jstanger@jfssi.org,(718)983-6042,101,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
27,-800000041880,YESHIVA RABBI JACOB JOSEPH FOR BOYS,YESHIVA RABBI JACOB JOSEPH FOR BOYS,353100227999,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,4240 AMBOY RD,,STATEN ISLAND,NY,10308,4240 AMBOY RD,,STATEN ISLAND,NY,10308,RABBI,SHARIR,YABLONSKY,PRINCIPAL,rsyablonsky@gmail.com,(718)979-6333,102,1,Elementary,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
28,-800000041881,RABBI JACOB JOSEPH FOR GIRLS,RABBI JACOB JOSEPH FOR GIRLS,353100229000,14,NON-PUBLIC SCHOOLS,16,JEWISH,35,RICHMOND,400 CASWELL AVE,,STATEN ISLAND,NY,10314,400 CASWELL AVE,,STATEN ISLAND,NY,10314,MS.,ESTHER,AKERMAN,PRINCIPAL,estherakerman@rjjsi.org,(718)982-8745,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
29,-800000034137,SAINT JOHN'S LUTHERAN SCHOOL,ST JOHN'S LUTHERAN SCHOOL,353100315791,14,NON-PUBLIC SCHOOLS,4,LUTHERAN,35,RICHMOND,663 MANOR RD,,STATEN ISLAND,NY,10314,663 MANOR RD,,STATEN ISLAND,NY,10314,MS.,KELLY,SPEISER,PRINCIPAL,kspeiserss@gmail.com,(718)761-1858,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
30,-800000041845,MIRAJ ISLAMIC SCHOOL,MIRAJ ISLAMIC SCHOOL,353100629737,14,NON-PUBLIC SCHOOLS,5,ISLAMIC,35,RICHMOND,307 VICTORY BLVD,,STATEN ISLAND,NY,10301,307 VICTORY BLVD,,STATEN ISLAND,NY,10301,MRS.,LAMIAA,REFAEY,PRINCIPAL,lamiaarefaey@yahoo.com,(718)816-6161,,6,K-12,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,
31,-800000041821,GATEWAY ACADEMY,GATEWAY ACADEMY,353100809513,14,NON-PUBLIC SCHOOLS,19,CHRISTIAN FUNDAMENTALIST,35,RICHMOND,200 BOSCOMBE AVE,,STATEN ISLAND,NY,10309,200 BOSCOMBE AVE,,STATEN ISLAND,NY,10309,MS.,MELISSA,DELPRETE,PRINCIPAL,cdesanctis@gatewayacademyny.org,(718)966-8695,145,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,
32,-800000041829,NEW DORP CHRISTIAN ACADEMY,NEW DORP CHRISTIAN ACADEMY,353100809771,14,NON-PUBLIC SCHOOLS,19,CHRISTIAN FUNDAMENTALIST,35,RICHMOND,259 ROSE AVE,,STATEN ISLAND,NY,10306,259 ROSE AVE,,STATEN ISLAND,NY,10306,MR.,MARK,RAWNSLEY,PRINCIPAL,pmnewdorp@gmail.com,(718)351-4442,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
33,-800000064491,JOHN W LAVELLE PREPARATORY CHARTER SCHOOL,JOHN W LAVELLE PREP CHARTER SCHOOL,353100860959,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,1 CORPORATE COMMONS-1 TELEPORT DR,,STATEN ISLAND,NY,10311,1 CORPORATE COMMONS-1 TELEPORT DR,,STATEN ISLAND,NY,10311,MS.,JENNA,CURRAN,CHARTER SCHOOL CO-LEADER,jcurran@lavelleprep.org,(929)399-8100,102,6,K-12,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,
34,-800000067673,NEW WORLD PREPARATORY CHARTER SCHOOL,NEW WORLD PREP CHARTER SCHOOL,353100860984,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,26 SHAPE AVE,,STATEN ISLAND,NY,10302,355 MORNINGSTAR RD,,STATEN ISLAND,NY,10303,MR.,EUGENE,FOLEY,CHARTER SCHOOL LEADER,efoley@newworldprep.org,(718)705-8900,223,1,Elementary,,,Y,Y,Y,,,Y,Y,,Y,Y,,,,,
35,-800000084244,NEW VENTURES CHARTER SCHOOL,NEW VENTURES CHARTER SCHOOL,353100861083,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,CORPORATE COMMONS ONE AT 1 TELEPORT DR,,STATEN ISLAND,NY,10311,CORPORATE COMMONS ONE AT 1 TELEPORT DR,,STATEN ISLAND,NY,10311,MR.,RYAN,MELIS,CHARTER SCHOOL LEADER,rmelis@newventurescharter.org,(347)855-2238,384,5,Senior High,,,,,,,,,,,,,,Y,Y,Y,
36,-800000089927,LOIS AND RICHARD NICOTRA EARLY COLLEGE CHARTER SCHOOL,LOIS AND RICHARD NICOTRA EARLY COLLE,353100861136,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,300 GENESEE AVE,,STATEN ISLAND,NY,10312,1 TELEPORT DR-3RD FL,CORPORATE COMMONS TWO,STATEN ISLAND,NY,10311,MS.,JESSICA,CARNAVAS,PRINCIPAL,jcarnavas@nicotracharter.org,(347)855-2238,,4,Junior-Senior High,,,,,,,,,,,,Y,Y,Y,Y,,
37,-800000090253,BRIDGE PREPARATORY CHARTER SCHOOL,BRIDGE PREPARATORY CHARTER SCHOOL,353100861144,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,715 OCEAN TERRACE-BLDG E,,STATEN ISLAND,NY,10301,715 OCEAN TERRACE-BLDG E,,STATEN ISLAND,NY,10301,MR.,TIMOTHY,CASTANZA,CHARTER SCHOOL LEADER,tim@bridgeprepcharter.org,(646)331-4561,,1,Elementary,,,,Y,Y,Y,,,,Y,,,,,,,
38,-800000090258,RICHMOND PREPARATORY CHARTER SCHOOL,RICHMOND PREP CHARTER SCHOOL,353100861148,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,2 TELEPORT DR-2ND FL,,STATEN ISLAND,NY,10311,2 TELEPORT DR-2ND FL,,STATEN ISLAND,NY,10311,MR.,CHRIS,ZILINSKI,CHARTER SCHOOL LEADER,czilinski@richmondprepcharter.org,(347)855-2238,,8,Not Available,,,,,,,,,,,,,,,,,
39,-800000090726,STATEN ISLAND HEBREW PUBLIC CHARTER SCHOOL,STATEN ISLAND HEBREW PUBLIC CHARTER,353100861159,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,829 FATHER CAPODANNO BLVD,,STATEN ISLAND,NY,10305,829 FATHER CAPODANNO BLVD,,STATEN ISLAND,NY,10305,MS.,KAY,LODGE,ADMINISTRATOR,kay@hebrewpublic.org,(212)792-6234,,8,Not Available,,,,,,,,,,,,,,,,,
40,-800000041920,SAINT CHARLES SCHOOL,ST CHARLES SCHOOL,353100145249,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,200 PENN AVE,,STATEN ISLAND,NY,10306,200 PENN AVE,,STATEN ISLAND,NY,10306,MR.,JOHN-CHARLES,KIERNAN,PRINCIPAL,johnckiernan@archny.org,(718)987-0200,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
41,-800000041921,SAINT CHRISTOPHER SCHOOL,ST CHRISTOPHER SCHOOL,353100145252,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,15 LISBON PL,,STATEN ISLAND,NY,10306,15 LISBON PL,,STATEN ISLAND,NY,10306,MRS.,CATHERINE,FALABELLA,PRINCIPAL,catherine.falabella@archny.org,(718)351-0902,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
42,-800000041922,SAINT CLARE SCHOOL,ST CLARE SCHOOL,353100145254,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,151 LINDENWOOD RD,,STATEN ISLAND,NY,10308,110 NELSON AVE,,STATEN ISLAND,NY,10308,MRS.,THERESA,SIGNORILE,PRINCIPAL,theresa.signorile@archny.org,(718)984-7091,1811,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
43,-800000041923,ACADEMY OF SAINT DOROTHY,ACADEMY OF ST DOROTHY,353100145263,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,1305 HYLAN BLVD,,STATEN ISLAND,NY,10305,1305 HYLAN BLVD,,STATEN ISLAND,NY,10305,SISTER,SHARON,MCCARTHY,PRINCIPAL,srsharon@academyofstdorothy.org,(718)351-0939,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
44,-800000041924,MONSIGNOR FARRELL HIGH SCHOOL,MONSIGNOR FARRELL HIGH SCHOOL,353100145269,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,2900 AMBOY RD,,STATEN ISLAND,NY,10306,2900 AMBOY RD,,STATEN ISLAND,NY,10306,MR.,LAWRENCE,MUSANTI,PRINCIPAL,lmusanti@msgrfarrellhs.org,(718)987-2900,,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
45,-800000041909,HOLY ROSARY SCHOOL,HOLY ROSARY SCHOOL,353100145295,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,100 JEROME AVE,,STATEN ISLAND,NY,10305,100 JEROME AVE,,STATEN ISLAND,NY,10305,MRS.,DIANE,HESTERHAGEN,PRINCIPAL,diane.hesterhagen@archny.org,(718)447-1195,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
46,-800000041897,SAINT JOSEPH BY THE SEA HIGH SCHOOL,ST JOSEPH BY THE SEA HIGH SCHOOL,353100145330,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,5150 HYLAN BLVD,,STATEN ISLAND,NY,10312,5150 HYLAN BLVD,,STATEN ISLAND,NY,10312,FATHER,MICHAEL,REILLY,PRINCIPAL,frmreilly@josephsea.org,(718)984-6500,,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
47,-800000041898,SAINT JOSEPH HILL ACADEMY HIGH SCHOOL,ST JOSEPH HILL ACADEMY HIGH SCHOOL,353100145331,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,850 HYLAN BLVD,,STATEN ISLAND,NY,10305,850 HYLAN BLVD,,STATEN ISLAND,NY,10305,MRS.,MARIA,MOLLUZZO,PRINCIPAL,mrsmolluzzo@stjhill.org,(718)447-1374,9100,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
48,-800000041899,SAINT JOSEPH HILL ACADEMY ELEMENTARY SCHOOL,ST JOSEPH HILL ACADEMY ELEM SCHOOL,353100145332,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,850 HYLAN BLVD,,STATEN ISLAND,NY,10305,850 HYLAN BLVD,,STATEN ISLAND,NY,10305,MR.,LAWRENCE,HANSEN,PRINCIPAL,lhansen@stjhill.org,(718)981-1187,137,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
49,-800000041903,MOORE CATHOLIC HIGH SCHOOL,MOORE CATHOLIC HIGH SCHOOL,353100145361,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,100 MERRILL AVE,,STATEN ISLAND,NY,10314,100 MERRILL AVE,,STATEN ISLAND,NY,10314,MRS.,GINA,DESANTIS,PRINCIPAL,gdesantis@moorechs.org,(718)761-9200,106,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
50,-800000041905,NOTRE DAME ACADEMY ELEMENTARY SCHOOL,NOTRE DAME ACADEMY ELEM SCHOOL,353100145369,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,78 HOWARD AVE,,STATEN ISLAND,NY,10301,78 HOWARD AVE,,STATEN ISLAND,NY,10301,MS.,REBECCA,GIACCIO,PRINCIPAL,rebecca.giaccio@archny.org,(718)273-9096,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
51,-800000041891,NOTRE DAME ACADEMY HIGH SCHOOL,NOTRE DAME ACADEMY HIGH SCHOOL,353100145370,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,134 HOWARD AVE,,STATEN ISLAND,NY,10301,134 HOWARD AVE,,STATEN ISLAND,NY,10301,MS.,JANN,AMATO,PRINCIPAL,jamato@notredameacademy.org,(718)447-8878,502,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,
52,-800000041892,OUR LADY OF GOOD COUNSEL SCHOOL,OUR LADY OF GOOD COUNSEL SCHOOL,353100145374,14,NON-PUBLIC SCHOOLS,11,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,RICHMOND,42 AUSTIN PL,,STATEN ISLAND,NY,10304,42 AUSTIN PL,,STATEN ISLAND,NY,10304,MS.,TARA,HYNES,PRINCIPAL,tara.hynes@archny.org,(718)447-7260,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
